,Region_x,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_y,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
150,Latin America and Caribbean,6.6595,6.573499999999999,6.808,1.254,0.961,0.7745,0.5700000000000001,0.1965,0.17099999999999999,2.6025,Latin America,36.3495,0.8115,17434.9365,0.1617,1.0045000000000002,0.482,1.4595,0.04059,2.345,1.863,4.8865,2.7514,2.1145,0.16499999999999998,9.325,7.4115,1.3525,3.1294999999999997,3B
151,Central and Eastern Europe,6.082000000000001,5.9825,6.234,0.798,1.109,0.5355,0.5700000000000001,0.30900000000000005,0.376,2.328,Middle East/Central Asia,36.3495,0.64,5938.9115,0.536,0.089765,0.10299,1.4595,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
152,Latin America and Caribbean,6.082000000000001,5.9825,6.234,1.026,0.961,0.655,0.19,0.08405,0.03374,2.877,Latin America,36.3495,0.726,5938.9115,0.536,0.8220000000000001,0.10299,2.4325,0.123,3.6285,0.16679000000000002,0.7715,2.7514,0.41495,0.045,3.0858499999999998,1.254,2.094,3.1294999999999997,5
153,Southeastern Asia,4.927,4.8004999999999995,5.087,0.798,0.8135,0.655,0.5700000000000001,0.14,0.239,2.0534999999999997,Asia-Pacific,111.161,0.64,5938.9115,0.536,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.105,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
154,Middle East and Northern Africa,3.7714999999999996,3.6185,3.939,0.5700000000000001,0.518,0.2975,0.266,0.08405,0.10265,2.0534999999999997,Middle East/Central Asia,36.3495,0.4685,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
155,Sub-Saharan Africa,4.927,4.8004999999999995,5.087,0.5700000000000001,0.6659999999999999,0.1785,0.41800000000000004,0.14,0.17099999999999999,2.6025,Africa,36.3495,0.554,5938.9115,0.1617,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.7715,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
156,Sub-Saharan Africa,4.349,4.2095,4.513,0.342,0.6659999999999999,0.1785,0.266,0.08405,0.17099999999999999,2.328,Africa,36.3495,0.4685,5938.9115,0.1617,0.274,0.2935,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
157,,,,,,,,,,,,Latin America,36.3495,0.8115,17434.9365,,,,,,4.9115,,,,,,3.0858499999999998,-4.9035,2.836,3.1294999999999997,2
158,,,,,,,,,,,,Latin America,36.3495,,,,,,,,11.3285,,,,,,3.0858499999999998,-11.1225,6.5440000000000005,22.343,2
159,,,,,,,,,,,,Latin America,36.3495,0.8115,5938.9115,0.909,1.0045000000000002,0.10299,4.3785,0.123,7.4784999999999995,0.16679000000000002,0.252885,2.7514,8.035,0.045,9.325,1.254,4.319,3.1294999999999997,3L
160,,,,,,,,,,,,Latin America,36.3495,0.8115,17434.9365,0.536,0.274,0.10299,3.4055,0.20500000000000002,4.9115,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,-4.9035,2.836,22.343,5
161,,,,,,,,,,,,North America,36.3495,,74629.0915,,,,,,6.195,,,,,,3.0858499999999998,-4.9035,3.5774999999999997,41.477,3T
162,,,,,,,,,,,,Latin America,36.3495,,,,,,,,2.345,,,,,,3.0858499999999998,1.254,1.3525,3.1294999999999997,3T
163,,,,,,,,,,,,Asia-Pacific,36.3495,0.8115,5938.9115,0.34950000000000003,0.089765,0.2935,3.4055,0.123,3.6285,0.16679000000000002,0.252885,2.7514,1.269,0.014865,3.0858499999999998,1.254,2.094,3.1294999999999997,3L
164,,,,,,,,,,,,Africa,36.3495,0.64,5938.9115,,,,,,2.345,,,,,,3.0858499999999998,-4.9035,1.3525,3.1294999999999997,3T
165,,,,,,,,,,,,Latin America,36.3495,,,0.34950000000000003,0.4565,1.2365,3.4055,0.04059,6.195,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,3.5774999999999997,15.965,3L
166,,,,,,,,,,,,Africa,36.3495,0.3825,5938.9115,0.34950000000000003,0.6395,0.2935,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.7715,8.3965,0.41495,0.045,9.325,7.4115,0.6065,3.1294999999999997,6
167,,,,,,,,,,,,Africa,36.3495,0.554,5938.9115,0.1617,0.089765,0.2935,0.48019999999999996,0.123,1.054,0.16679000000000002,2.8289999999999997,8.3965,0.41495,0.014865,9.325,7.4115,0.6065,3.1294999999999997,5
168,,,,,,,,,,,,Africa,36.3495,0.3825,5938.9115,0.1617,0.089765,0.482,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
169,,,,,,,,,,,,Africa,36.3495,,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.123,1.054,0.847,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
